name,place_id,city
Pertamina gas station 54.803.37,ChIJtzzFODU40i0RzK07T34qsfk,Badung Regency
SPBU Pertamina 54.801.44 Gatsu Barat,ChIJpa7Md2o50i0RqNDRGwY8_Pk,Badung Regency
SPBU PERTAMINI WARMA,ChIJJ8ctSwBH0i0R3TpTxXCOCfg,Badung Regency
Balai banjar sandakan kangin,ChIJZ-dNah4h0i0Rh2fgKhv0hJw,Badung Regency
Balai Banjar Sangut,ChIJx1bvbwcj0i0RQqRpsAUxgW4,Badung Regency
Balai Banjar Karang Dalem I,ChIJnQeeRuAi0i0R7vvuXUgKxYM,Badung Regency
Balai Banjar Telugtug,ChIJqVms9EAj0i0R3pN_uVzEcuY,Badung Regency
Balai Banjar Samuan Kangin,ChIJNy9q0hEj0i0RDHAjSaOd9_s,Badung Regency
Balai Banjar Tebejero,ChIJ9fTJaykj0i0RFCnhGIZ4p84,Badung Regency
Balai Banjar Pangsan,ChIJVZjjM8Uj0i0RMK7O_ZpP5Qs,Badung Regency
Balai Banjar Sukajati,ChIJvXHaHIgj0i0RpPomTH5YDeo,Badung Regency
Balai Banjar Kuwum,ChIJsfBY2X8j0i0Rw-eWQRPGazg,Badung Regency
Balai Banjar Adat Kedampal,ChIJXeGCrY880i0R4LXNs_BKMTc,Badung Regency
Balai Banjar Mekarsari,ChIJ_2ovlQMj0i0RZgfcSBWm-lI,Badung Regency
Balai Banjar Kauh Getasan,ChIJlYWBxqQj0i0RhnpmV9n8F0A,Badung Regency
Balai Banjar Sedang,ChIJX2QKvjc_0i0RLcWMH_1LlOs,Badung Regency
Balai Banjar munduk damping,ChIJ7Qsyt7Ih0i0RR3Ko1Tirp-o,Badung Regency
Balai Banjar Angantiga,ChIJdbxTh2Ih0i0RnkS1oFYT7lM,Badung Regency
Balai Banjar Pengembungan,ChIJaWFJQyk90i0RNTbYUDBa__Q,Badung Regency
Balai Banjar Gumasih Mambal Kajanan,ChIJWctzrUA80i0RGbXOGRZlCDE,Badung Regency
Balai banjar tengah SOBANGAN,ChIJnw24PwA90i0RTwLUJge9Vhw,Badung Regency
Balai Banjar Busana Kelod,ChIJCdy1g4c90i0R53faeimHiS0,Badung Regency
Balai Banjar Kiadan,ChIJvXa7LyuL0S0RZljJ10mJ6-4,Badung Regency
BALAI BANJAR WANAKELING,ChIJh3HbdUIh0i0RaJfxqUdFLJ4,Badung Regency
Balai Banjar Sulangai,ChIJG_Mhotwh0i0RxX1qsFNEoQQ,Badung Regency
Balai Banjar Auman,ChIJY1DWTW2K0S0R5mEHgA6h2WE,Badung Regency
Balai Banjar Tegalnarungan,ChIJgeBhguk70i0RiZHxYSkDkPU,Badung Regency
Balai Banjar Adat Belok,ChIJ_9zk9cyL0S0RhktDMKyOWA4,Badung Regency
Balai Banjar Belulang,ChIJXTBQOUU50i0R-66js-JxIZg,Badung Regency
Balai Banjar Tegal,ChIJuY_7YUFF0i0RnVt2rGI0uzY,Badung Regency
Balai Banjar Adat Tatag Seminyak,ChIJkcfz3SdH0i0RhAeVAahgyWM,Badung Regency
Balai Banjar Silayukti,ChIJ_yJlaQA50i0R2nZ1J6n8vJc,Badung Regency
Balai Banjar Bhineka Asri,ChIJ7491DCk50i0R-K-fDSMnhaI,Badung Regency
Balai Banjar Pengilian,ChIJz14tIgA50i0Rnktb5gC1pDE,Badung Regency
Balai Banjar Nuansa Utama Selatan,ChIJrWjQ86ZE0i0RSckmXtUiRLE,Badung Regency
Desa Wisata Penarungan,ChIJreRWRms90i0RYU9LXUrJ1fQ,Badung Regency
Objek Wisata Sangeh,ChIJD_uUnkcj0i0RRgli0Ct1dFI,Badung Regency
DESA WISATA BONGKASA PERTIWI,ChIJDSBFSJ0j0i0RHxMPAusBX14,Badung Regency
Beji Samuan Park,ChIJN9qoL0wj0i0RJYDoRRCpZzQ,Badung Regency
Melasti Beach Ungasan,ChIJf6d0f5Nb0i0Rq_tEZeZB_Nc,Badung Regency
SDN 1 Sedang,ChIJqWBSin4-0i0RpGMVlpUcfgg,Badung Regency
SDN No.4 Mambal,ChIJeRd_UUQ80i0RAM1Z7zzeKzo,Badung Regency
SDN 2 Angantaka,ChIJcwcMxmA-0i0R5D2Ge43Hefw,Badung Regency
SDN 3 Penarungan,ChIJXZEhPG880i0RrwaVTCi5J-E,Badung Regency
SDN 3 Sibang Gede,ChIJK5_Y_pY-0i0RfZ0JMPOZyTE,Badung Regency
SDN 2 Penarungan,ChIJW9D5ynM80i0R2ESwhDpNeJI,Badung Regency
SDN No.2 Abiansemal,ChIJWcLJlfM80i0RZ4LZJUFOOQ4,Badung Regency
BALAI BANJAR BATULANTANG,ChIJT65o6zAh0i0RSg6JaZf1aoU,Badung Regency
Balai Banjar Adat Lipah,ChIJMV8u7Ich0i0RBWi-pmoodYY,Badung Regency
Balai Banjar Nungnung,ChIJ5YqhP7mL0S0RFJpN-7oWkVw,Badung Regency
Balai Banjar Jempeng,ChIJzbAvGhwj0i0R-aDvkiMcL6k,Badung Regency
Balai Banjar Bukian,ChIJY3X-TWeK0S0RiMHFUze3Ox4,Badung Regency
Balai Banjar Pacung Sangeh,ChIJX7lbCzUj0i0RuwZDAHHIPaM,Badung Regency
Balai Banjar Pasekan,ChIJw5xvegAl0i0RwrI7JylWrZY,Badung Regency
Balai Banjar Juwet,ChIJ6QHsv_M80i0RVuS1QuJQgmw,Badung Regency
Balai Banjar Anyar,ChIJTQBCOAAj0i0RQdzOm6JxKOM,Badung Regency
Balai banjar badung tengah,ChIJB7rC64A90i0R66NZ02xCOE0,Badung Regency
Balai Banjar Belang Sembung,ChIJ4wX5ZQAl0i0R9Cb2rlxz91k,Badung Regency
Balai Banjar Sedahan,ChIJ72HMvpM70i0RoGlR9O8gvXA,Badung Regency
Balai Banjar Dirgahayu Gerih,ChIJQx6Idhc80i0Rg0EYr3e1h4s,Badung Regency
"Balai Banjar Adat Muncan, Desa Adat Kapal",ChIJXwsTrlA50i0RGLxGZelgX2o,Badung Regency
Balai Banjar Badung,ChIJ5cgQ45Y-0i0R5pHETqyYGDs,Badung Regency
Balai Banjar Sekarmukti,ChIJ50JbWACL0S0RgI1R2if2cv4,Badung Regency
Balai Banjar Adat Aseman Dan Ratih,ChIJxce-v30-0i0RPSiojTV-74E,Badung Regency
Balai Banjar Datengan,ChIJv4_nLz050i0RvE1EuFcCVBk,Badung Regency
Balai Banjar Lebah Sari Desa Mambal,ChIJOb-Tgzs80i0Rj7jEyFpqhX8,Badung Regency
Balai Banjar Adat Celuk,ChIJtab3ysU40i0RvEbwN0Rq66M,Badung Regency
Balai Banjar Berawa,ChIJ86TWd2hH0i0RWJfuv8R6ItY,Badung Regency
Balai Banjar Tuka,ChIJayKwCeE50i0RdF7_J7UOp7I,Badung Regency
"Balai Serba Guna Banjar Cabe, Darmasaba, Abiansemal, Badung",ChIJW5ODDgA_0i0RkPlj_0Ip75s,Badung Regency
Banjar Jambe Kerobokan,ChIJd6LstKQ40i0Rj9ltys-Qtyg,Badung Regency
Balai Banjar kasianan,ChIJhXUu814j0i0RTVCTBNdo1Zo,Badung Regency
BALAI BANJAR TEGUAN,ChIJjcrIH0I90i0RHStosNhvPLk,Badung Regency
Balai Banjar Celuk Kapal,ChIJ-VfxSgA70i0RddfwkFoOXws,Badung Regency
SMK 1 South Kuta,ChIJl4C_GmhD0i0RAQ2JFmMqeCM,Badung Regency
SMK Wira Harapan,ChIJk0Jwqc840i0RgsQ3ar2FB7k,Badung Regency
Smkn 5 Dps,ChIJS6fixsBG0i0RHt8vlW8GPZk,Badung Regency
SMK Negeri 2 Kuta Selatan,ChIJf3YAsGxF0i0RMJZGdszzasY,Badung Regency
SMK Pariwisata Mengwitani,ChIJYdwJTt470i0RKO14yN0XbGc,Badung Regency
SMK Kesehatan Bali Khresna Medika,ChIJOQHAaTI50i0Rah9CLf8qJvg,Badung Regency
SMK PGRI 2 Badung,ChIJZYquFpQ70i0RL8ANBtUzCVI,Badung Regency
SMK Ilkom Ganesha Udayana,ChIJLwiCwMFE0i0RgmKmVWZuyKA,Badung Regency
SMKS Pariwisata Dalung,ChIJvbkt8LY40i0R1jG4DFkwRu8,Badung Regency
SMK TI Bali Global Badung,ChIJC0fzQ7Q40i0R80uQ4QPPVO0,Badung Regency
SMK Pariwisata Triatma Jaya Badung,ChIJhWgyJM440i0RyaR_Ty_XeO4,Badung Regency
SMK Prshanti Nilayam Kuta,ChIJy0LMgaNG0i0RZLEVeYgWFTk,Badung Regency
SMK PGRI 3 Badung,ChIJXeLKirg40i0RopoXwyUk9GM,Badung Regency
SMK Seni Ukir Tangeb,ChIJfa4uEUI50i0Rv3xr5vTHzYw,Badung Regency
SMK Nusa Dua,ChIJ0WLAHG9D0i0RtkPQMp-E4Ik,Badung Regency
SMK TI Mengwitani,ChIJ02HJ58I70i0RxWRh6IFj9lo,Badung Regency
SMK Kesehatan Gana Husada,ChIJX7zLAW9D0i0RbxI6xnOneek,Badung Regency
SMK Widya Mandala,ChIJ_5am0j480i0RH6L-YBHXKEA,Badung Regency
SMK Widya Wisata Jimbaran,ChIJSezMh0FF0i0RimLttjXx4-s,Badung Regency
SMK Pandawa Bali Global,ChIJ71xvUYk80i0Rr93HMO3QWlU,Badung Regency
